Date,Open
1-Jan-20,"7,196.40"
2-Jan-20,"7,199.70"
3-Jan-20,"6,967.10"
4-Jan-20,"7,345.10"
5-Jan-20,"7,376.80"
6-Jan-20,"7,372.60"
7-Jan-20,"7,759.10"
8-Jan-20,"8,154.20"
9-Jan-20,"8,060.00"
10-Jan-20,"7,842.50"
11-Jan-20,"8,187.80"
12-Jan-20,"8,023.30"
13-Jan-20,"8,188.30"
14-Jan-20,"8,111.20"
15-Jan-20,"8,827.90"
16-Jan-20,"8,818.10"
17-Jan-20,"8,726.70"
18-Jan-20,"8,913.00"
19-Jan-20,"8,916.30"
20-Jan-20,"8,705.70"
21-Jan-20,"8,642.00"
22-Jan-20,"8,733.00"
23-Jan-20,"8,678.50"
24-Jan-20,"8,404.90"
25-Jan-20,"8,439.90"
26-Jan-20,"8,341.60"
27-Jan-20,"8,608.10"
28-Jan-20,"8,866.60"
29-Jan-20,"9,377.30"
30-Jan-20,"9,299.10"
31-Jan-20,"9,508.30"
1-Feb-20,"9,349.30"
2-Feb-20,"9,381.50"
3-Feb-20,"9,334.60"
4-Feb-20,"9,296.50"
5-Feb-20,"9,194.10"
6-Feb-20,"9,611.80"
7-Feb-20,"9,771.90"
8-Feb-20,"9,817.30"
9-Feb-20,"9,895.40"
10-Feb-20,"10,151.50"
11-Feb-20,"9,854.00"
12-Feb-20,"10,229.30"
13-Feb-20,"10,321.90"
14-Feb-20,"10,235.50"
15-Feb-20,"10,336.00"
16-Feb-20,"9,907.40"
17-Feb-20,"9,931.70"
18-Feb-20,"9,701.50"
19-Feb-20,"10,158.60"
20-Feb-20,"9,611.90"
21-Feb-20,"9,602.20"
22-Feb-20,"9,684.50"
23-Feb-20,"9,655.60"
24-Feb-20,"9,943.20"
25-Feb-20,"9,662.60"
26-Feb-20,"9,317.10"
27-Feb-20,"8,800.10"
28-Feb-20,"8,820.10"
29-Feb-20,"8,697.10"
1-Mar-20,"8,543.80"
2-Mar-20,"8,537.50"
3-Mar-20,"8,906.10"
4-Mar-20,"8,761.30"
5-Mar-20,"8,757.90"
6-Mar-20,"9,060.60"
7-Mar-20,"9,134.20"
8-Mar-20,"8,887.80"
9-Mar-20,"8,035.80"
10-Mar-20,"7,933.00"
11-Mar-20,"7,892.10"
12-Mar-20,"7,935.20"
13-Mar-20,"4,815.20"
14-Mar-20,"5,589.40"
15-Mar-20,"5,182.90"
16-Mar-20,"5,366.40"
17-Mar-20,"5,030.20"
18-Mar-20,"5,260.70"
19-Mar-20,"5,359.20"
20-Mar-20,"6,171.60"
21-Mar-20,"6,205.60"
22-Mar-20,"6,186.90"
23-Mar-20,"5,822.00"
24-Mar-20,"6,468.80"
25-Mar-20,"6,744.80"
26-Mar-20,"6,677.90"
27-Mar-20,"6,725.50"
28-Mar-20,"6,373.40"
29-Mar-20,"6,233.20"
30-Mar-20,"5,890.40"
31-Mar-20,"6,391.10"
1-Apr-20,"6,412.40"
2-Apr-20,"6,638.80"
3-Apr-20,"6,799.90"
4-Apr-20,"6,735.90"
5-Apr-20,"6,857.50"
6-Apr-20,"6,772.80"
7-Apr-20,"7,332.30"
8-Apr-20,"7,185.60"
9-Apr-20,"7,361.10"
10-Apr-20,"7,289.00"
11-Apr-20,"6,862.70"
12-Apr-20,"6,867.90"
13-Apr-20,"6,918.10"
14-Apr-20,"6,841.80"
15-Apr-20,"6,851.30"
16-Apr-20,"6,629.10"
17-Apr-20,"7,085.50"
18-Apr-20,"7,035.90"
19-Apr-20,"7,230.90"
20-Apr-20,"7,122.90"
21-Apr-20,"6,833.40"
22-Apr-20,"6,842.50"
23-Apr-20,"7,112.80"
24-Apr-20,"7,491.30"
25-Apr-20,"7,503.90"
26-Apr-20,"7,540.40"
27-Apr-20,"7,679.40"
28-Apr-20,"7,766.00"
29-Apr-20,"7,746.70"
30-Apr-20,"8,770.60"
1-May-20,"8,628.60"
2-May-20,"8,821.60"
3-May-20,"8,966.20"
4-May-20,"8,885.50"
5-May-20,"8,874.20"
6-May-20,"9,000.60"
7-May-20,"9,152.70"
8-May-20,"9,980.10"
9-May-20,"9,806.00"
10-May-20,"9,553.90"
11-May-20,"8,737.60"
12-May-20,"8,569.80"
13-May-20,"8,813.90"
14-May-20,"9,298.70"
15-May-20,"9,778.60"
16-May-20,"9,318.10"
17-May-20,"9,376.60"
18-May-20,"9,678.40"
19-May-20,"9,730.80"
20-May-20,"9,773.00"
21-May-20,"9,511.60"
22-May-20,"9,058.20"
23-May-20,"9,169.80"
24-May-20,"9,177.90"
25-May-20,"8,728.00"
26-May-20,"8,897.70"
27-May-20,"8,842.30"
28-May-20,"9,199.80"
29-May-20,"9,573.40"
30-May-20,"9,424.80"
31-May-20,"9,692.90"
1-Jun-20,"9,454.50"
2-Jun-20,"10,190.70"
3-Jun-20,"9,527.00"
4-Jun-20,"9,667.20"
5-Jun-20,"9,794.00"
6-Jun-20,"9,630.80"
7-Jun-20,"9,669.60"
8-Jun-20,"9,743.40"
9-Jun-20,"9,777.70"
10-Jun-20,"9,768.80"
11-Jun-20,"9,878.90"
